------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=120 --full-rtt
------------------------------
sockperf: [Total Run] RunTime=119.999 sec; Warm up time=400 msec; SentMessages=12001; ReceivedMessages=12000
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=119.540 sec; SentMessages=11955; ReceivedMessages=11955
sockperf: [2;35m====> avg-rtt=66.328 (std-dev=100.572, mean-ad=21.204, median-ad=16.105, siqr=11.703, cv=1.516, std-error=0.920, 99.0% ci=[63.959, 68.697])[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 11955 observations[0m; each percentile contains 119.55 observations
sockperf: ---> <MAX> observation = 4016.060
sockperf: ---> percentile 99.999 = 4016.060
sockperf: ---> percentile 99.990 = 3518.218
sockperf: ---> percentile 99.900 = 1885.813
sockperf: ---> percentile 99.000 =  223.075
sockperf: ---> percentile 90.000 =   85.152
sockperf: ---> percentile 75.000 =   70.596
sockperf: ---> percentile 50.000 =   56.554
sockperf: ---> percentile 25.000 =   47.190
sockperf: ---> <MIN> observation =   21.605
------------------------------
packet, txTime(sec), rxTime(sec), rtt(usec)
123, 8.647140467, 8.647210922, 70.455
124, 8.657140486, 8.657211021, 70.535
125, 8.667140470, 8.667202544, 62.074
126, 8.677140465, 8.677205059, 64.594
127, 8.687140463, 8.687210177, 69.714
128, 8.697140463, 8.697204125, 63.662
129, 8.707140464, 8.707201478, 61.014
130, 8.717140459, 8.717210444, 69.985
131, 8.727140465, 8.727213229, 72.764
132, 8.737140465, 8.737207992, 67.527
133, 8.747140470, 8.747188659, 48.189
134, 8.757140470, 8.757194056, 53.586
135, 8.767140480, 8.767200038, 59.558
136, 8.777140494, 8.777222910, 82.416
137, 8.787140467, 8.787220740, 80.273
138, 8.797140466, 8.797218425, 77.959
139, 8.807141014, 8.807238149, 97.135
140, 8.817140546, 8.817208718, 68.172
141, 8.827141320, 8.827231764, 90.444
142, 8.837140463, 8.837200003, 59.540
143, 8.847140561, 8.847204895, 64.334
144, 8.857140581, 8.857197446, 56.865
145, 8.867140552, 8.867196590, 56.038
146, 8.877140805, 8.877199776, 58.971
147, 8.887140576, 8.887198000, 57.424
148, 8.897144595, 8.897213322, 68.727
149, 8.907140785, 8.907213195, 72.410
150, 8.917140470, 8.917185740, 45.270
151, 8.927140470, 8.927190867, 50.397
152, 8.937140469, 8.937199199, 58.730
153, 8.947140471, 8.947414400, 273.929
154, 8.957140482, 8.957385855, 245.373
155, 8.967140528, 8.967357586, 217.058
156, 8.977140483, 8.977205788, 65.305
157, 8.987140476, 8.987200605, 60.129
158, 8.997140466, 8.997186127, 45.661
159, 9.007140466, 9.007185757, 45.291
160, 9.017140463, 9.017196629, 56.166
161, 9.027140464, 9.027204686, 64.222
162, 9.037140467, 9.037206306, 65.839
163, 9.047140468, 9.047198808, 58.340
164, 9.057140463, 9.057230762, 90.299
165, 9.067140464, 9.067201747, 61.283
166, 9.077140468, 9.077202777, 62.309
167, 9.087140463, 9.087188644, 48.181
168, 9.097140459, 9.097192832, 52.373
169, 9.107140464, 9.107210824, 70.360
170, 9.117140468, 9.117193463, 52.995
171, 9.127140467, 9.127209125, 68.658
172, 9.137140468, 9.137203711, 63.243
173, 9.147140472, 9.147197188, 56.716
174, 9.157140464, 9.157189895, 49.431
175, 9.167140463, 9.167200993, 60.530
176, 9.177140464, 9.177217413, 76.949
177, 9.187140463, 9.187194389, 53.926
178, 9.197140467, 9.197211104, 70.637
179, 9.207140465, 9.207248770, 108.305
180, 9.217140468, 9.217238575, 98.107
181, 9.227140463, 9.227202721, 62.258
182, 9.237140468, 9.237198521, 58.053
183, 9.247140463, 9.247239462, 98.999
184, 9.257140468, 9.257229661, 89.193
185, 9.267140464, 9.267213867, 73.403
186, 9.277140470, 9.277209473, 69.003
187, 9.287140465, 9.287224459, 83.994
188, 9.297140465, 9.297201399, 60.934
189, 9.307140467, 9.307215689, 75.222
190, 9.317140467, 9.317193764, 53.297
191, 9.327140463, 9.327198585, 58.122
192, 9.337140463, 9.337189433, 48.970
193, 9.347140468, 9.347188517, 48.049
194, 9.357140469, 9.357196028, 55.559
195, 9.367140471, 9.367194888, 54.417
196, 9.377140470, 9.377185776, 45.306
197, 9.387140468, 9.387201825, 61.357
198, 9.397140463, 9.397192008, 51.545
199, 9.407141307, 9.407221718, 80.411
200, 9.417142116, 9.417245742, 103.626
201, 9.427141707, 9.427234231, 92.524
202, 9.437141566, 9.437233867, 92.301
203, 9.447140704, 9.447377463, 236.759
204, 9.457140545, 9.457218319, 77.774
205, 9.467140483, 9.467211910, 71.427
206, 9.477140497, 9.477192017, 51.520
207, 9.487140552, 9.487202060, 61.508
208, 9.497141048, 9.497217456, 76.408
