------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=120 --full-rtt
------------------------------
sockperf: [Total Run] RunTime=120.000 sec; Warm up time=400 msec; SentMessages=12002; ReceivedMessages=12001
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=119.540 sec; SentMessages=11955; ReceivedMessages=11955
sockperf: [2;35m====> avg-rtt=56.053 (std-dev=81.477, mean-ad=15.600, median-ad=10.775, siqr=8.570, cv=1.454, std-error=0.745, 99.0% ci=[54.134, 57.972])[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 11955 observations[0m; each percentile contains 119.55 observations
sockperf: ---> <MAX> observation = 6822.542
sockperf: ---> percentile 99.999 = 6822.542
sockperf: ---> percentile 99.990 = 2870.027
sockperf: ---> percentile 99.900 =  512.987
sockperf: ---> percentile 99.000 =  127.601
sockperf: ---> percentile 90.000 =   75.543
sockperf: ---> percentile 75.000 =   59.294
sockperf: ---> percentile 50.000 =   48.161
sockperf: ---> percentile 25.000 =   42.153
sockperf: ---> <MIN> observation =   32.717
------------------------------
packet, txTime(sec), rxTime(sec), rtt(usec)
123, 8.653339324, 8.653426409, 87.085
124, 8.663339321, 8.663394272, 54.951
125, 8.673339323, 8.673403139, 63.816
126, 8.683339326, 8.683414588, 75.262
127, 8.693339363, 8.693409837, 70.474
128, 8.703339329, 8.703395991, 56.662
129, 8.713339319, 8.713385177, 45.858
130, 8.723339321, 8.723394553, 55.232
131, 8.733339329, 8.733416266, 76.937
132, 8.743339317, 8.743398145, 58.828
133, 8.753339322, 8.753418532, 79.210
134, 8.763339458, 8.763440236, 100.778
135, 8.773339321, 8.773383911, 44.590
136, 8.783339450, 8.783423172, 83.722
137, 8.793339326, 8.793387048, 47.722
138, 8.803339324, 8.803379259, 39.935
139, 8.813339325, 8.813393774, 54.449
140, 8.823339328, 8.823402995, 63.667
141, 8.833339347, 8.833395301, 55.954
142, 8.843339337, 8.843409678, 70.341
143, 8.853339322, 8.853449265, 109.943
144, 8.863339335, 8.863412091, 72.756
145, 8.873339321, 8.873411924, 72.603
146, 8.883339324, 8.883393198, 53.874
147, 8.893339326, 8.893401437, 62.111
148, 8.903339319, 8.903399970, 60.651
149, 8.913339324, 8.913393521, 54.197
150, 8.923339332, 8.923426210, 86.878
151, 8.933339711, 8.933396305, 56.594
152, 8.943339372, 8.943410353, 70.981
153, 8.953339364, 8.953409984, 70.620
154, 8.963339334, 8.963417134, 77.800
155, 8.973339629, 8.973406898, 67.269
156, 8.983339344, 8.983400426, 61.082
157, 8.993339348, 8.993392830, 53.482
158, 9.003339330, 9.003381353, 42.023
159, 9.013339334, 9.013377430, 38.096
160, 9.023339324, 9.023390174, 50.850
161, 9.033339319, 9.033378638, 39.319
162, 9.043339329, 9.043378058, 38.729
163, 9.053339324, 9.053383486, 44.162
164, 9.063339347, 9.063404205, 64.858
165, 9.073339339, 9.073395008, 55.669
166, 9.083339339, 9.083384151, 44.812
167, 9.093339321, 9.093380062, 40.741
168, 9.103339328, 9.103381740, 42.412
169, 9.113339762, 9.113387914, 48.152
170, 9.123339346, 9.123406335, 66.989
171, 9.133339318, 9.133387573, 48.255
172, 9.143339611, 9.143439392, 99.781
173, 9.153339319, 9.153442836, 103.517
174, 9.163339324, 9.163432447, 93.123
175, 9.173339316, 9.173402536, 63.220
176, 9.183339347, 9.183418458, 79.111
177, 9.193339322, 9.193429161, 89.839
178, 9.203339326, 9.203417704, 78.378
179, 9.213339336, 9.213445670, 106.334
180, 9.223339335, 9.223433501, 94.166
181, 9.233339326, 9.233437731, 98.405
182, 9.243339344, 9.243402303, 62.959
183, 9.253339415, 9.253412449, 73.034
184, 9.263339338, 9.263414299, 74.961
185, 9.273339339, 9.273403977, 64.638
186, 9.283339343, 9.283383813, 44.470
187, 9.293339348, 9.293380752, 41.404
188, 9.303339350, 9.303381840, 42.490
189, 9.313339340, 9.313379392, 40.052
190, 9.323339332, 9.323390288, 50.956
191, 9.333339354, 9.333379326, 39.972
192, 9.343339342, 9.343392149, 52.807
193, 9.353339337, 9.353379182, 39.845
194, 9.363339344, 9.363385085, 45.741
195, 9.373339412, 9.373412274, 72.862
196, 9.383339323, 9.383377741, 38.418
197, 9.393339321, 9.393381322, 42.001
198, 9.403339324, 9.403376841, 37.517
199, 9.413339324, 9.413376403, 37.079
200, 9.423339329, 9.423394872, 55.543
201, 9.433339325, 9.433386830, 47.505
202, 9.443339341, 9.443413365, 74.024
203, 9.453339322, 9.453419141, 79.819
204, 9.463339334, 9.463418792, 79.458
205, 9.473339337, 9.473418632, 79.295
206, 9.483339334, 9.483418612, 79.278
207, 9.493339340, 9.493405429, 66.089
208, 9.503339347, 9.503447810, 108.463
209, 9.513339337, 9.513433726, 94.389
210, 9.523339321, 9.523401772, 62.451
211, 9.533339346, 9.533411125, 71.779
212, 9.543339325, 9.543391657, 52.332
213, 9.553339328, 9.553390953, 51.625
214, 9.563339345, 9.563439216, 99.871
215, 9.573339322, 9.573420591, 81.269
216, 9.583339340, 9.583399156, 59.816
217, 9.593339328, 9.593406115, 66.787
218, 9.603339329, 9.603406202, 66.873
219, 9.613339321, 9.613390445, 51.124
220, 9.623339318, 9.623416639, 77.321
221, 9.633339329, 9.633427066, 87.737
222, 9.643339344, 9.643406279, 66.935
223, 9.653339326, 9.653408325, 68.999
224, 9.663339328, 9.663406082, 66.754
225, 9.673339322, 9.673408079, 68.757
226, 9.683339329, 9.683400246, 60.917
227, 9.693339327, 9.693386427, 47.100
228, 9.703339344, 9.703399985, 60.641
229, 9.713339324, 9.713389224, 49.900
230, 9.723339328, 9.723388273, 48.945
231, 9.733339326, 9.733398541, 59.215
232, 9.743339316, 9.743393937, 54.621
233, 9.753339324, 9.753393688, 54.364
234, 9.763339321, 9.763420081, 80.760
235, 9.773339324, 9.773389366, 50.042
236, 9.783339322, 9.783389525, 50.203
237, 9.793339337, 9.793387692, 48.355
238, 9.803339341, 9.803379383, 40.042
239, 9.813339321, 9.813383885, 44.564
240, 9.823339346, 9.823385991, 46.645
241, 9.833339329, 9.833382436, 43.107
242, 9.843339372, 9.843400673, 61.301
243, 9.853339327, 9.853401045, 61.718
244, 9.863339335, 9.863415021, 75.686
245, 9.873339324, 9.873413010, 73.686
246, 9.883339324, 9.883378896, 39.572
247, 9.893339321, 9.893389122, 49.801
248, 9.903339325, 9.903383314, 43.989
249, 9.913339326, 9.913378058, 38.732
250, 9.923339316, 9.923382197, 42.881
251, 9.933339349, 9.933382423, 43.074
252, 9.943339329, 9.943376409, 37.080
253, 9.953339346, 9.953383393, 44.047
254, 9.963339338, 9.963390108, 50.770
255, 9.973339334, 9.973380531, 41.197
256, 9.983339341, 9.983398952, 59.611
257, 9.993339326, 9.993384615, 45.289
258, 10.003339347, 10.003379168, 39.821
259, 10.013339328, 10.013387667, 48.339
260, 10.023339337, 10.023399632, 60.295
261, 10.033339324, 10.033391786, 52.462
262, 10.043339326, 10.043396914, 57.588
263, 10.053339329, 10.053382016, 42.687
264, 10.063339349, 10.063386797, 47.448
265, 10.073339329, 10.073388910, 49.581
266, 10.083339321, 10.083390839, 51.518
267, 10.093339321, 10.093393951, 54.630
268, 10.103339328, 10.103394735, 55.407
269, 10.113339332, 10.113385242, 45.910
270, 10.123339324, 10.123429101, 89.777
271, 10.133339344, 10.133402483, 63.139
272, 10.143339329, 10.143398811, 59.482
273, 10.153339325, 10.153403464, 64.139
274, 10.163339393, 10.163402531, 63.138
275, 10.173339324, 10.173404088, 64.764
276, 10.183339328, 10.183406463, 67.135
277, 10.193339329, 10.193417950, 78.621
